nc,location,ref_criterion,ref_requirement,fail_links,ref_exists,status
NC_T1_001,knowledge-base/05_nonconformities.txt:29,T1_DRT_REQUIRED,REQ_T1_DRT_REQUIRED,T1_DRT_REQUIRED,True,reachable_from_declared_FAIL
NC_T1_008,knowledge-base/05_nonconformities.txt:44,T1_DRT_ACTIVITY_EXECUTION,REQ_T1_DRT_ACTIVITY_EXECUTION,T1_DRT_ACTIVITY_EXECUTION,True,reachable_from_declared_FAIL
NC_T1_002,knowledge-base/05_nonconformities.txt:58,T1_DRT_SMSCI_COVERAGE,REQ_T1_DRT_SMSCI,T1_DRT_SMSCI_COVERAGE,True,reachable_from_declared_FAIL
NC_T1_003,knowledge-base/05_nonconformities.txt:73,T1_CONFORMITY_REPORT,REQ_T1_CONFORMITY_REPORT,T1_CONFORMITY_REPORT,True,reachable_from_declared_FAIL
NC_T1_004,knowledge-base/05_nonconformities.txt:89,T1_DRT_REGISTERED,REQ_T1_DRT_REGISTERED,T1_DRT_REGISTERED,True,reachable_from_declared_FAIL
NC_T1_005,knowledge-base/05_nonconformities.txt:104,T1_DRT_SIGNED,REQ_T1_DRT_SIGNED,T1_DRT_SIGNED,True,reachable_from_declared_FAIL
NC_T1_009,knowledge-base/05_nonconformities.txt:119,T1_DRT_PROFESSIONAL_REGULARITY,REQ_T1_DRT_PROFESSIONAL_REGULARITY,T1_DRT_PROFESSIONAL_REGULARITY,True,reachable_from_declared_FAIL
NC_T1_006_RI,knowledge-base/05_nonconformities.txt:130,T1_DRT_RI_LEGAL_ENTITY,REQ_T1_DRT_BASIC_DATA,T1_DRT_RI_LEGAL_ENTITY,True,reachable_from_declared_FAIL
NC_T1_006_RT,knowledge-base/05_nonconformities.txt:145,T1_DRT_RT_NAME,REQ_T1_DRT_BASIC_DATA,T1_DRT_RT_NAME,True,reachable_from_declared_FAIL
NC_T1_006_ADDRESS,knowledge-base/05_nonconformities.txt:160,T1_DRT_ADDRESS,REQ_T1_DRT_BASIC_DATA,T1_DRT_ADDRESS,True,reachable_from_declared_FAIL
NC_T1_006_AREA,knowledge-base/05_nonconformities.txt:175,T1_DRT_AREA,REQ_T1_DRT_BASIC_DATA,T1_DRT_AREA,True,reachable_from_declared_FAIL
NC_T4_001,knowledge-base/05_nonconformities.txt:190,T4_IN07_COMMISSIONING,REQ_IN07_COMMISSIONING,T4_IN07_COMMISSIONING,True,reachable_from_declared_FAIL
NC_T4_002,knowledge-base/05_nonconformities.txt:205,T4_IN08_ESTANQUEIDADE,REQ_IN08_ESTANQUEIDADE,T4_IN08_ESTANQUEIDADE,True,reachable_from_declared_FAIL
NC_T4_003,knowledge-base/05_nonconformities.txt:220,T4_IN08_MANUAL,REQ_IN08_MANUAL,T4_IN08_MANUAL,True,reachable_from_declared_FAIL
NC_T4_004,knowledge-base/05_nonconformities.txt:235,T4_IN09_DRT,REQ_IN09_DRT,T4_IN09_DRT,True,reachable_from_declared_FAIL
NC_T4_005,knowledge-base/05_nonconformities.txt:250,T4_IN09_TEST_REPORT,REQ_IN09_TEST_REPORT,T4_IN09_TEST_REPORT,True,reachable_from_declared_FAIL
NC_T4_006,knowledge-base/05_nonconformities.txt:265,T4_IN09_MANUAL,REQ_IN09_MANUAL,T4_IN09_MANUAL,True,reachable_from_declared_FAIL
NC_T4_007,knowledge-base/05_nonconformities.txt:280,T4_IN09_CHECKLIST,REQ_IN09_CHECKLIST,T4_IN09_CHECKLIST,True,reachable_from_declared_FAIL
NC_T4_008,knowledge-base/05_nonconformities.txt:295,T4_IN10_COMMISSIONING,REQ_IN10_COMMISSIONING,T4_IN10_COMMISSIONING,True,reachable_from_declared_FAIL
NC_T4_009,knowledge-base/05_nonconformities.txt:310,T4_IN12_COMMISSIONING,REQ_IN12_COMMISSIONING,T4_IN12_COMMISSIONING,True,reachable_from_declared_FAIL
NC_T4_010,knowledge-base/05_nonconformities.txt:325,T4_IN15_COMMISSIONING,REQ_IN15_COMMISSIONING,T4_IN15_COMMISSIONING,True,reachable_from_declared_FAIL
NC_T4_011,knowledge-base/05_nonconformities.txt:340,T4_IN18_CMAR,REQ_IN18_CMAR,T4_IN18_CMAR,True,reachable_from_declared_FAIL
NC_T4_012,knowledge-base/05_nonconformities.txt:355,T4_IN19_EXECUTION,REQ_IN19_EXECUTION,T4_IN19_EXECUTION,True,reachable_from_declared_FAIL
NC_T4_013,knowledge-base/05_nonconformities.txt:369,T4_IN19_GROUNDING,REQ_IN19_GROUNDING,T4_IN19_GROUNDING,True,reachable_from_declared_FAIL
NC_T4_014,knowledge-base/05_nonconformities.txt:383,T4_IN19_FINAL_VERIFICATION,REQ_IN19_FINAL_VERIFICATION,T4_IN19_FINAL_VERIFICATION,True,reachable_from_declared_FAIL
NC_T4_016_01,knowledge-base/05_nonconformities.txt:397,T4_IN34_EXPLOSION_PROTECTION,REQ_IN34_EXPLOSION_PROTECTION,T4_IN34_EXPLOSION_PROTECTION,True,reachable_from_declared_FAIL
NC_T4_016_02,knowledge-base/05_nonconformities.txt:411,T4_IN34_DUST_CONTROL,REQ_IN34_DUST_CONTROL,T4_IN34_DUST_CONTROL,True,reachable_from_declared_FAIL
NC_T4_016_03,knowledge-base/05_nonconformities.txt:425,T4_IN34_HEAT_SENSORS,REQ_IN34_HEAT_SENSORS,T4_IN34_HEAT_SENSORS,True,reachable_from_declared_FAIL
NC_T4_016_04,knowledge-base/05_nonconformities.txt:439,T4_IN34_LIGHTNING_PROTECTION,REQ_IN34_LIGHTNING_PROTECTION,T4_IN34_LIGHTNING_PROTECTION,True,reachable_from_declared_FAIL
NC_T4_017,knowledge-base/05_nonconformities.txt:453,T4_DRT_REGISTERED,REQ_T1_DRT_REGISTERED,T4_DRT_REGISTERED,True,reachable_from_declared_FAIL
NC_T4_018,knowledge-base/05_nonconformities.txt:468,T4_DRT_SIGNED,REQ_T1_DRT_SIGNED,,True,no_declared_FAIL
NC_T4_019,knowledge-base/05_nonconformities.txt:483,T4_DRT_PROFESSIONAL_REGULARITY,REQ_T1_DRT_PROFESSIONAL_REGULARITY,T4_DRT_PROFESSIONAL_REGULARITY,True,reachable_from_declared_FAIL
