position,requirement,criterion,table
1,REQ_T1_DRT_REQUIRED,T1_DRT_REQUIRED,1
2,REQ_T1_DRT_SIGNED,T1_DRT_SIGNED,1
3,REQ_T1_DRT_SIGNED,T4_DRT_SIGNED,4
4,REQ_T1_DRT_REGISTERED,T1_DRT_REGISTERED,1
5,REQ_T1_DRT_REGISTERED,T4_DRT_REGISTERED,4
6,REQ_T1_DRT_PROFESSIONAL_REGULARITY,T1_DRT_PROFESSIONAL_REGULARITY,1
7,REQ_T1_DRT_PROFESSIONAL_REGULARITY,T4_DRT_PROFESSIONAL_REGULARITY,4
8,REQ_T1_DRT_ACTIVITY_EXECUTION,T1_DRT_ACTIVITY_EXECUTION,1
9,REQ_T1_DRT_SMSCI,T1_DRT_SMSCI_COVERAGE,1
10,REQ_T1_CONFORMITY_REPORT,T1_CONFORMITY_REPORT,1
11,REQ_T1_CONFORMITY_REPORT_SIGNED,T1_CONFORMITY_REPORT_SIGNED,1
12,REQ_T1_DRT_BASIC_DATA,T1_DRT_RI_LEGAL_ENTITY,1
13,REQ_T1_DRT_BASIC_DATA,T1_DRT_RT_NAME,1
14,REQ_T1_DRT_BASIC_DATA,T1_DRT_ADDRESS,1
15,REQ_T1_DRT_BASIC_DATA,T1_DRT_AREA,1
16,REQ_IN07_COMMISSIONING,T4_IN07_COMMISSIONING,4
17,REQ_IN08_ESTANQUEIDADE,T4_IN08_ESTANQUEIDADE,4
18,REQ_IN08_MANUAL,T4_IN08_MANUAL,4
19,REQ_IN09_DRT,T4_IN09_DRT,4
20,REQ_IN09_TEST_REPORT,T4_IN09_TEST_REPORT,4
21,REQ_IN09_MANUAL,T4_IN09_MANUAL,4
22,REQ_IN09_CHECKLIST,T4_IN09_CHECKLIST,4
23,REQ_IN10_COMMISSIONING,T4_IN10_COMMISSIONING,4
24,REQ_IN12_COMMISSIONING,T4_IN12_COMMISSIONING,4
25,REQ_IN15_COMMISSIONING,T4_IN15_COMMISSIONING,4
26,REQ_IN18_CMAR,T4_IN18_CMAR,4
27,REQ_IN19_APPLICABILITY_REVIEW,T4_IN19_APPLICABILITY_REVIEW,4
28,REQ_IN19_EXECUTION,T4_IN19_EXECUTION,4
29,REQ_IN19_GROUNDING,T4_IN19_GROUNDING,4
30,REQ_IN19_FINAL_VERIFICATION,T4_IN19_FINAL_VERIFICATION,4
31,REQ_IN19_LEGACY_DOCUMENTATION,T4_IN19_LEGACY_DOCUMENTATION,4
32,REQ_IN19_REGIME_REVIEW,T4_IN19_REGIME_REVIEW,4
33,REQ_IN34_EXPLOSION_PROTECTION,T4_IN34_EXPLOSION_PROTECTION,4
34,REQ_IN34_DUST_CONTROL,T4_IN34_DUST_CONTROL,4
35,REQ_IN34_HEAT_SENSORS,T4_IN34_HEAT_SENSORS,4
36,REQ_IN34_LIGHTNING_PROTECTION,T4_IN34_LIGHTNING_PROTECTION,4
